periode_data,tanggal,terminal,jumlah_bus_datang,jumlah_penumpang_datang,jumlah_bus_berangkat,jumlah_penumpang_berangkat
202401,7,MUARA ANGKE,75,1216,75,1245
202401,8,MUARA ANGKE,75,1207,75,1226
202401,9,MUARA ANGKE,75,1225,75,1244
202401,10,MUARA ANGKE,75,1217,75,1231
202401,11,MUARA ANGKE,75,1230,76,1239
202401,12,MUARA ANGKE,75,1223,75,1236
202401,13,MUARA ANGKE,75,1227,75,1241
202401,14,MUARA ANGKE,75,1201,75,1206
202401,15,MUARA ANGKE,75,1184,75,1193
202401,16,MUARA ANGKE,75,1215,75,1234
202401,17,MUARA ANGKE,75,1224,75,1246
202401,18,MUARA ANGKE,75,1242,75,1254
202401,19,MUARA ANGKE,75,1229,75,1237
202401,20,MUARA ANGKE,75,1226,75,1235
202401,21,MUARA ANGKE,75,1228,75,1232
202401,22,MUARA ANGKE,75,1233,75,1247
202401,23,MUARA ANGKE,75,1246,75,1251
202401,24,MUARA ANGKE,75,1236,75,1251
202401,25,MUARA ANGKE,75,1232,75,1243
202401,26,MUARA ANGKE,75,1247,75,1250
202401,27,MUARA ANGKE,75,1247,75,1253
202401,28,MUARA ANGKE,75,1213,75,1221
202401,29,MUARA ANGKE,75,1191,75,1196
202401,30,MUARA ANGKE,75,1209,75,1221
202401,31,MUARA ANGKE,75,1225,75,1236
202401,1,LEBAK BULUS,114,163,114,222
202401,2,LEBAK BULUS,101,130,101,214
202401,3,LEBAK BULUS,110,172,110,217
202402,7,KAMPUNG MELAYU,410,7055,402,6786
202402,8,KAMPUNG MELAYU,407,7563,407,6375
202402,9,KAMPUNG MELAYU,506,8163,506,5814
202402,10,KAMPUNG MELAYU,449,4438,449,7217
202402,11,KAMPUNG MELAYU,336,2252,336,2271
202402,12,KAMPUNG MELAYU,302,2501,296,2941
202402,13,KAMPUNG MELAYU,441,4902,441,5665
202402,14,KAMPUNG MELAYU,461,5905,461,4704
202402,15,KAMPUNG MELAYU,544,3840,544,6963
202402,16,KAMPUNG MELAYU,440,6126,440,6230
202402,17,KAMPUNG MELAYU,501,5616,501,6748
202402,18,KAMPUNG MELAYU,294,2597,294,2072
202402,19,KAMPUNG MELAYU,262,2163,262,2697
202402,20,KAMPUNG MELAYU,429,5222,429,6434
202402,21,KAMPUNG MELAYU,436,5399,436,8385
202402,22,KAMPUNG MELAYU,454,6999,454,7602
202402,23,KAMPUNG MELAYU,429,6129,429,6236
202402,24,KAMPUNG MELAYU,550,6523,550,7014
202402,25,KAMPUNG MELAYU,325,2779,325,3750
202402,26,KAMPUNG MELAYU,273,3182,273,3400
202402,27,KAMPUNG MELAYU,435,7297,438,6672
202402,28,KAMPUNG MELAYU,419,5624,419,5517
202402,29,KAMPUNG MELAYU,351,4873,353,4921
202402,1,SENEN,256,480,256,524
202402,2,SENEN,256,477,256,528
202402,3,SENEN,257,476,257,513
202402,4,SENEN,202,433,202,464
202402,5,SENEN,201,431,201,467
202402,6,SENEN,258,465,258,519
202402,7,SENEN,260,472,260,530
202402,8,SENEN,256,466,256,525
202402,9,SENEN,253,471,253,534
202402,10,SENEN,254,477,254,528
202402,20,KALIDERES,82,264,72,236
202402,21,KALIDERES,79,242,69,214
202402,22,KALIDERES,84,226,74,243
202402,23,KALIDERES,89,251,79,276
202402,24,KALIDERES,96,235,85,309
202402,25,KALIDERES,91,262,81,287
202402,26,KALIDERES,86,308,76,255
202402,27,KALIDERES,83,274,73,228
202402,28,KALIDERES,78,249,68,202
202402,29,KALIDERES,81,223,71,241
202402,1,TANJUNG PRIOK,70,237,60,234
202402,2,TANJUNG PRIOK,73,248,65,273
202402,3,TANJUNG PRIOK,78,239,68,256
202402,4,TANJUNG PRIOK,72,264,62,235
202402,5,TANJUNG PRIOK,69,248,59,230
202402,6,TANJUNG PRIOK,65,232,55,227
202402,7,TANJUNG PRIOK,82,246,72,876
202402,8,TANJUNG PRIOK,75,236,64,371
202402,9,TANJUNG PRIOK,77,246,65,385
202402,10,TANJUNG PRIOK,80,231,70,362
202402,11,TANJUNG PRIOK,87,531,72,241
202402,12,TANJUNG PRIOK,76,428,66,232
202402,13,TANJUNG PRIOK,72,346,62,231
202402,14,TANJUNG PRIOK,60,229,50,225
202402,15,TANJUNG PRIOK,65,235,55,230
202402,16,TANJUNG PRIOK,97,256,76,415
202402,17,TANJUNG PRIOK,120,290,81,300
202402,18,TANJUNG PRIOK,99,252,65,244
202402,19,TANJUNG PRIOK,72,246,59,228
202402,20,TANJUNG PRIOK,76,256,61,259
202402,21,TANJUNG PRIOK,73,229,61,230
202402,22,TANJUNG PRIOK,75,239,66,248
202402,23,TANJUNG PRIOK,82,274,67,335
202402,24,TANJUNG PRIOK,87,236,72,351
202402,25,TANJUNG PRIOK,81,362,65,234
202402,26,TANJUNG PRIOK,70,248,60,232
202402,27,TANJUNG PRIOK,65,231,55,229
202402,28,TANJUNG PRIOK,68,241,57,220
202402,29,TANJUNG PRIOK,70,249,59,241
202402,1,GROGOL,87,29,87,177
202402,2,GROGOL,94,18,94,192
202402,3,GROGOL,97,21,97,196
202402,4,GROGOL,91,27,91,179
202402,5,GROGOL,94,33,94,183
202402,6,GROGOL,98,26,98,192
202402,7,GROGOL,113,21,113,301
202402,8,GROGOL,101,17,101,241
202402,9,GROGOL,105,22,105,215
202402,10,GROGOL,92,18,92,194
202402,11,GROGOL,95,23,95,186
202402,12,GROGOL,99,17,99,197
202402,13,GROGOL,103,11,103,208
202402,14,GROGOL,63,7,63,128
202402,15,GROGOL,84,13,84,137
202402,16,GROGOL,98,18,98,197
202402,17,GROGOL,94,15,94,188
202402,18,GROGOL,78,21,78,167
202402,19,GROGOL,88,27,88,186
202402,20,GROGOL,82,21,82,167
202402,21,GROGOL,91,24,91,186
202402,22,GROGOL,97,19,97,193
202402,23,GROGOL,104,15,104,214
202402,24,GROGOL,98,11,98,197
202402,25,GROGOL,91,16,91,182
202402,26,GROGOL,95,25,95,176
202402,27,GROGOL,98,21,98,182
202402,28,GROGOL,92,18,92,176
202402,29,GROGOL,97,13,97,187
202402,1,MUARA ANGKE,5,41,5,45
202402,2,MUARA ANGKE,5,46,5,49
202402,3,MUARA ANGKE,5,43,5,50
202402,4,MUARA ANGKE,5,25,5,30
202402,5,MUARA ANGKE,5,27,5,31
202402,6,MUARA ANGKE,5,30,5,32
202402,7,MUARA ANGKE,5,32,5,36
202402,8,MUARA ANGKE,5,37,5,43
202402,9,MUARA ANGKE,5,35,5,45
202402,10,MUARA ANGKE,5,32,5,41
202402,11,MUARA ANGKE,5,29,5,35
202402,12,MUARA ANGKE,5,30,5,36
202402,13,MUARA ANGKE,5,40,5,45
202402,14,MUARA ANGKE,5,27,5,37
202402,15,MUARA ANGKE,5,31,5,39
202402,16,MUARA ANGKE,5,34,5,42
202402,17,MUARA ANGKE,5,36,5,48
202402,18,MUARA ANGKE,5,37,5,50
202402,19,MUARA ANGKE,5,34,5,47
202402,20,MUARA ANGKE,5,36,5,42
202402,21,MUARA ANGKE,5,34,5,43
202402,22,MUARA ANGKE,5,40,5,48
202402,23,MUARA ANGKE,5,38,5,45
202402,24,MUARA ANGKE,5,41,5,51
202402,25,MUARA ANGKE,5,39,5,48
202402,26,MUARA ANGKE,5,41,5,49
202402,27,MUARA ANGKE,5,40,5,47
202402,28,MUARA ANGKE,5,41,5,49
202402,29,MUARA ANGKE,5,32,5,40
202402,1,LEBAK BULUS,40,5,40,213
202402,2,LEBAK BULUS,40,3,40,209
202402,3,LEBAK BULUS,39,5,39,199
